term_str,n,p,port_stem,stop,df,tf_sum,tf_mean,tf_max,tfidf_sum,tfidf_mean,tfidf_max,tfth_sum,tfth_mean,tfth_max,th_sum,th_mean,th_max
absolved,2,1.1526314576177413e-05,absolv,0,2.0,0.000584114249819483,9.735237496991384e-06,0.0003950995625840522,0.0028661847192001464,4.776974532000244e-05,0.001938710327972725,3.975319298885767e-06,6.625532164809612e-08,2.6889378518108506e-06,0.006805722168418789,0.00011342870280697981,0.004466796575934563
absolves,2,1.1526314576177413e-05,absolv,0,2.0,0.0017885730186502568,2.9809550310837612e-05,0.0010706532563540406,0.008776332124774083,0.00014627220207956806,0.005253578394761278,3.2307637007267566e-05,5.384606167877928e-07,1.933959441758706e-05,0.018063359264833635,0.00030105598774722727,0.010564449341895946
absorb,1,5.763157288088707e-06,absorb,0,1.0,0.00018901508233459835,3.150251372243306e-06,0.00018896430149736471,0.0011164914122704088,1.8608190204506813e-05,0.0011161914554205163,4.4209454621268567e-07,7.3682424368780945e-09,4.419757729861483e-07,0.002338937934223053,3.8982298903717546e-05,0.002337412572191033
absorbed,11,6.339473016897578e-05,absorb,0,10.0,0.007728065162499039,0.00012880108604165064,0.0020768223643484744,0.019976758648189562,0.000332945977469826,0.005368507932499857,0.0006053756762557001,1.0089594604261669e-05,0.000162687259597829,0.07833470131609742,0.0013055783552682902,0.018507408234772472
abstains,1,5.763157288088707e-06,abstain,0,1.0,0.000760501378555684,1.2675022975928067e-05,0.0007604511692047466,0.004492198440937883,7.486997401563138e-05,0.0044919018597950194,5.993080976376556e-06,9.988468293960926e-08,5.99268530489663e-06,0.00788043407331936,0.000131340567888656,0.007878925643413992
abstract,1,5.763157288088707e-06,abstract,0,1.0,0.0007179208329484016,1.1965347215806692e-05,0.0007178705810169183,0.004240679816534345,7.067799694223909e-05,0.004240382983872858,5.3836465627830546e-06,8.972744271305091e-08,5.3832697264721635e-06,0.007498941827155463,0.0001249823637859244,0.007497432167059875
abstractions,2,1.1526314576177413e-05,abstract,0,2.0,0.0011736448790032761,1.9560747983387934e-05,0.0006944402479076427,0.00575894701936527,9.59824503227545e-05,0.0034075423216700603,1.4754139313931264e-05,2.459023218988544e-07,8.7299560080999e-06,0.012571212619665074,0.00020952021032775124,0.007285971119530288
absurd,6,3.457894372853224e-05,absurd,0,5.0,0.004497805632286417,7.496342720477363e-05,0.0013477003582365004,0.016124464527279215,0.00026874107545465356,0.004831455246486323,0.00020353129544539857,3.3921882574233098e-06,6.098511634542671e-05,0.045251242958210126,0.0007541873826368354,0.01285070635668791
abundance,1,5.763157288088707e-06,abund,0,1.0,0.0008857826056824349,1.4763043428040582e-05,0.0008857325216127242,0.005232220943259181,8.720368238765301e-05,0.00523192510213882,7.957496912174064e-06,1.3262494853623439e-07,7.957046978039536e-06,0.008983577754999333,0.00014972629591665556,0.008982072925291698
abuse,4,2.3052629152354826e-05,abus,0,4.0,0.002993498403770208,4.98916400628368e-05,0.0009615300463098751,0.011695270761658938,0.0001949211793609823,0.0037565926953230747,9.244691484121303e-05,1.5407819140202172e-06,2.9694516020627287e-05,0.030882566940666926,0.0005147094490111154,0.009636819927951274
abused,1,5.763157288088707e-06,abus,0,1.0,0.0007819055987539287,1.3031759979232145e-05,0.0007818554108072114,0.0046186308279332275,7.697718046555379e-05,0.004618334373222752,6.310673594928058e-06,1.0517789324880096e-07,6.31026853356178e-06,0.008070889382279603,0.00013451482303799338,0.008069381569449686
abuses,1,5.763157288088707e-06,abus,0,1.0,0.0006601125576926831,1.1001875961544718e-05,0.0006600622479529248,0.003899212659077995,6.498687765129992e-05,0.0038989154849493495,4.604378684868558e-06,7.67396447478093e-08,4.6040277673005086e-06,0.0069751417863681015,0.00011625236310613503,0.006973630450261635
abutted,1,5.763157288088707e-06,abut,0,1.0,0.0007634038385610446,1.2723397309350743e-05,0.0007633536321125672,0.004509342954647678,7.515571591079463e-05,0.004509046390649328,6.035707893156712e-06,1.0059513155261187e-07,6.035310945378806e-06,0.007906310642259202,0.00013177184403765336,0.007904802296081048
abyss,3,1.728947186426612e-05,abyss,0,2.0,0.0011865232808007857,1.9775388013346428e-05,0.0007178705810169183,0.005822139928031939,9.703566546719899e-05,0.0035225124028559394,1.5046745575274394e-05,2.507790929212399e-07,9.103585376972932e-06,0.012681374077312112,0.00021135623462186854,0.007497432167059875
academic,1,5.763157288088707e-06,academ,0,1.0,0.001067275277390538,1.7787921289842298e-05,0.001067225374813499,0.00630427829894364,0.00010507130498239399,0.006303983529880634,1.1245946357810264e-05,1.8743243929683773e-07,1.1245420531234516e-05,0.010537062551759218,0.00017561770919598697,0.01053556289297389
academies,1,5.763157288088707e-06,academi,0,1.0,0.0006601125576926831,1.1001875961544718e-05,0.0006600622479529248,0.003899212659077995,6.498687765129992e-05,0.0038989154849493495,4.604378684868558e-06,7.67396447478093e-08,4.6040277673005086e-06,0.0069751417863681015,0.00011625236310613503,0.006973630450261635
accelerated,2,1.1526314576177413e-05,acceler,0,2.0,0.0019517424927358831,3.252904154559805e-05,0.0010604350424897127,0.009576986882655231,0.00015961644804425386,0.005203438737246491,3.807826332717911e-05,6.346377221196518e-07,2.068896124339081e-05,0.019509880770081693,0.00032516467950136156,0.010478294426725354
accent,4,2.3052629152354826e-05,accent,0,4.0,0.0030217113801548697,5.036185633591449e-05,0.0010893136733994817,0.011805495773770295,0.00019675826289617158,0.0042558293462722045,9.296741410760791e-05,1.549456901793465e-06,3.3514344233240055e-05,0.030766477142116444,0.000512774619035274,0.010721422598172683
accented,1,5.763157288088707e-06,accent,0,1.0,0.00018901508233459835,3.150251372243306e-06,0.00018896430149736471,0.0011164914122704088,1.8608190204506813e-05,0.0011161914554205163,4.4209454621268567e-07,7.3682424368780945e-09,4.419757729861483e-07,0.002338937934223053,3.8982298903717546e-05,0.002337412572191033
accents,3,1.728947186426612e-05,accent,0,3.0,0.002302813193928474,3.83802198988079e-05,0.001072950770529276,0.009952593040116768,0.0001658765506686128,0.0046372160795815215,5.431574185177501e-05,9.052623641962501e-07,2.5307357637773444e-05,0.023586690398935614,0.0003931115066489269,0.01058380142117083
accept,19,0.00010949998847368542,accept,0,15.0,0.012896333856983315,0.0002149388976163886,0.0024350457011091714,0.02579266771396663,0.0004298777952327772,0.004870091402218343,0.001658846721968241,2.764744536613735e-05,0.00031321828543857857,0.12862932523028484,0.002143822087171414,0.021140666054947334
accepted,6,3.457894372853224e-05,accept,0,6.0,0.004454606008351274,7.424343347252124e-05,0.0009606063953217468,0.014797880850796146,0.0002466313475132691,0.003191065372747787,0.0002057419839791574,3.4290330663192903e-06,4.4366901410819016e-05,0.04618634815142856,0.000769772469190476,0.009628894652824349
accepts,1,5.763157288088707e-06,accept,0,1.0,0.0010776254000170022,1.7960423333616704e-05,0.0010775755077900861,0.006365415340949298,0.00010609025568248829,0.0063651206330233336,1.1448944066482959e-05,1.9081573444138264e-07,1.1448413999805518e-05,0.01062423367740063,0.00017707056129001052,0.010622734312080825
accessories,1,5.763157288088707e-06,accessori,0,1.0,0.0008857826056824349,1.4763043428040582e-05,0.0008857325216127242,0.005232220943259181,8.720368238765301e-05,0.00523192510213882,7.957496912174064e-06,1.3262494853623439e-07,7.957046978039536e-06,0.008983577754999333,0.00014972629591665556,0.008982072925291698
accident,5,2.8815786440443534e-05,accid,0,4.0,0.004108236391772823,6.847060652954705e-05,0.002141305442055896,0.016050430123553908,0.0002675071687258985,0.008365846093893521,0.0001620142268278306,2.7002371137971764e-06,8.444546820422987e-05,0.03943644215612353,0.0006572740359353923,0.01898758422192143
accidents,1,5.763157288088707e-06,accid,0,1.0,0.0005824587119217186,9.70764519869531e-06,0.0005824083245281144,0.0034405198877806497,5.7341998129677494e-05,0.003440222254959233,3.6461262435718156e-06,6.076877072619693e-08,3.645810824136233e-06,0.0062598879009673905,0.00010433146501612317,0.006258374301842428
acclamations,1,5.763157288088707e-06,acclam,0,1.0,0.0004792053255351861,7.986755425586436e-06,0.0004791548348881957,0.0028306134307693096,4.7176890512821825e-05,0.0028303151880414356,2.5327259978874102e-06,4.221209996479017e-08,2.5324591415578396e-06,0.005285262627369198,8.80877104561533e-05,0.005283745995614804
accommodating,1,5.763157288088707e-06,accommod,0,1.0,0.0006840407529584044,1.1400679215973407e-05,0.0006839904671468414,0.004040553890662968,6.734256484438281e-05,0.004040256857875555,4.920172397883349e-06,8.200287329805582e-08,4.9198107017987415e-06,0.007192805949943948,0.00011988009916573247,0.007191295308428622
accompanied,26,0.00014984208949030638,accompani,0,19.0,0.02200620366574552,0.00036677006109575865,0.003218850165688433,0.036507479460074446,0.0006084579910012408,0.005339953591897589,0.004608904373831876,7.681507289719792e-05,0.0006741450198628931,0.20943659541813747,0.0034906099236356246,0.026649629383751955
accompanies,2,1.1526314576177413e-05,accompani,0,2.0,0.0015061463066259923,2.5102438443766537e-05,0.000911569512180499,0.007390495147593583,0.0001231749191265597,0.004472971866561935,2.3463787704557098e-05,3.9106312840928497e-07,1.4201059629900359e-05,0.0155786908624566,0.00025964484770761,0.009206268400234745
accompany,7,4.0342101016620945e-05,accompani,0,6.0,0.00536721605973592,8.945360099559868e-05,0.00150374868344425,0.017829505820167398,0.0002971584303361233,0.004995344999183336,0.0002887741111227826,4.812901852046376e-06,8.090669065314909e-05,0.05380333266050612,0.0008967222110084353,0.01410098344794864
accomplice,7,4.0342101016620945e-05,accomplic,0,6.0,0.004941137142200504,8.235228570334174e-05,0.001490302448101767,0.01641410229336731,0.00027356837155612183,0.004950677572228675,0.0002480610767753172,4.134351279588621e-06,7.481800633292652e-05,0.05020323654988553,0.0008367206091647589,0.013994206957180514
accomplices,4,2.3052629152354826e-05,accomplic,0,2.0,0.0027783138706593425,4.630523117765571e-05,0.001980185423735599,0.013632882203587026,0.0002272147033931171,0.00971655323328928,7.222788572202204e-05,1.203798095367034e-06,5.1478923243487416e-05,0.025997021605367123,0.0004332836934227854,0.01778235966697692
accomplish,3,1.728947186426612e-05,accomplish,0,3.0,0.002344688249452442,3.9078137490874034e-05,0.00086804878146637,0.010133574019060778,0.00016889290031767964,0.003751644416352245,5.6718899212502725e-05,9.453149868750454e-07,2.099842968847765e-05,0.02419037977682038,0.0004031729962803397,0.008828000778013111
accomplished,13,7.492104474515319e-05,accomplish,0,12.0,0.009909581300979574,0.00016515968834965956,0.0016820722795819517,0.023009335231314938,0.00038348892052191566,0.003905650883592564,0.0009920102553477408,1.653350425579568e-05,0.00016838581781618774,0.10010617252311949,0.0016684362087186582,0.015501212086550142
accomplishing,1,5.763157288088707e-06,accomplish,0,1.0,0.0011351116828708673,1.891852804784779e-05,0.0011350618481302342,0.006704980524515285,0.00011174967540858808,0.006704686156154505,1.2606349411215125e-05,2.101058235202521e-07,1.2605795955407454e-05,0.011105822978873567,0.0001850970496478928,0.01110432524093608
accord,2,1.1526314576177413e-05,accord,0,2.0,0.0015568834510859845,2.5948057518099742e-05,0.0008116824414908103,0.0076394567645923514,0.00012732427940987252,0.003982836938771819,2.503020398533787e-05,4.1717006642229786e-07,1.3049517012760642e-05,0.016077121230801426,0.0002679520205133571,0.008333378834490427
accordance,1,5.763157288088707e-06,accord,0,1.0,0.0012547401478971505,2.091233579828584e-05,0.001254690432784982,0.007411612779546117,0.00012352687965910193,0.007411319117817593,1.5175792139690323e-05,2.5292986899483874e-07,1.5175190846896967e-05,0.012094768916993535,0.00020157948194989226,0.0120932745523875
accorded,3,1.728947186426612e-05,accord,0,3.0,0.0019477333594959505,3.2462222658265843e-05,0.0008361141472661524,0.008417963527754894,0.00014029939212924824,0.0036136252236023737,3.992917917026407e-05,6.654863195044012e-07,1.7140617030671225e-05,0.020500331308489404,0.0003416721884748234,0.008548441464154259
according,25,0.00014407893220221767,accord,0,17.0,0.01878442008814381,0.0003130736681357302,0.0021551499380057424,0.034176895257892165,0.0005696149209648694,0.003921139612010957,0.0033911877011878087,5.6519795019796814e-05,0.00038907338792926974,0.18053193472436396,0.003008865578739399,0.019090309618043116
accordingly,8,4.610525830470965e-05,accordingli,0,8.0,0.006875673325458195,0.00011459455542430325,0.0011123356158978682,0.01998683012825077,0.0003331138354708462,0.0032334379410139226,0.00047991451751584746,7.998575291930791e-06,7.763981578978584e-05,0.0697989120191172,0.00116331520031862,0.010914450785555918
accost,1,5.763157288088707e-06,accost,0,1.0,0.0010776254000170022,1.7960423333616704e-05,0.0010775755077900861,0.006365415340949298,0.00010609025568248829,0.0063651206330233336,1.1448944066482959e-05,1.9081573444138264e-07,1.1448413999805518e-05,0.01062423367740063,0.00017707056129001052,0.010622734312080825
accosted,2,1.1526314576177413e-05,accost,0,2.0,0.0008730048654916566,1.455008109152761e-05,0.0006839904671468414,0.004283739364401489,7.139565607335815e-05,0.0033562663907287134,8.319921810408907e-06,1.3866536350681512e-07,6.518574444051788e-06,0.009530212418373308,0.00015883687363955513,0.007191295308428622
account,34,0.000195947347795016,account,0,17.0,0.02216466897024506,0.00036941114950408434,0.003717452627506878,0.040327013890625395,0.0006721168981770899,0.0067636364859977515,0.004600746459821984,7.667910766369972e-05,0.0007716360230111347,0.20757117852733337,0.003459519642122223,0.03000530708765675
accounts,5,2.8815786440443534e-05,account,0,3.0,0.003385977906798785,5.6432965113313084e-05,0.0015931942866827108,0.014633953044061567,0.0002438992174010261,0.006885671148228039,0.00011159134404849386,1.8598557341415643e-06,5.2506748914197884e-05,0.03295690259065984,0.0005492817098443307,0.014806927956643231
accretion,1,5.763157288088707e-06,accret,0,1.0,0.0010384616327702518,1.7307693879504197e-05,0.0010384117013795685,0.006134079252510867,0.00010223465420851445,0.006133784313248815,1.06895296120637e-05,1.7815882686772832e-07,1.0689015637293293e-05,0.010293620173089863,0.00017156033621816438,0.010292119696560405
accumulated,1,5.763157288088707e-06,accumul,0,1.0,0.0007819055987539287,1.3031759979232145e-05,0.0007818554108072114,0.0046186308279332275,7.697718046555379e-05,0.004618334373222752,6.310673594928058e-06,1.0517789324880096e-07,6.31026853356178e-06,0.008070889382279603,0.00013451482303799338,0.008069381569449686
accumulation,1,5.763157288088707e-06,accumul,0,1.0,0.0003951501372862308,6.58583562143718e-06,0.0003950995625840522,0.0023341086297894516,3.890181049649086e-05,0.0023338098905567773,1.7656555622890435e-06,2.9427592704817392e-08,1.7654295785532764e-06,0.004468315699989429,7.447192833315714e-05,0.004466796575934563
accurate,3,1.728947186426612e-05,accur,0,3.0,0.0020379918614623345,3.396653102437224e-05,0.0010604350424897127,0.008808054283205852,0.00014680090472009752,0.004583124002939363,4.321548484582361e-05,7.202580807637268e-07,2.248645609203355e-05,0.021204934947490376,0.00035341558245817294,0.010478294426725354
accursed,3,1.728947186426612e-05,accurs,0,3.0,0.0023835475497905587,3.972579249650931e-05,0.000911569512180499,0.010301521120939747,0.00017169201868232913,0.003939737885135667,5.8444845689308246e-05,9.740807614884707e-07,2.2351783785118388e-05,0.02452010898395704,0.0004086684830659507,0.009206268400234745
accusation,2,1.1526314576177413e-05,accus,0,2.0,0.0012956356209381924,2.159392701563654e-05,0.0007645208304508696,0.006357542243717015,0.00010595903739528359,0.003751420073086187,1.7742511328590357e-05,2.9570852214317263e-07,1.0469393767821512e-05,0.013694059534842597,0.00022823432558070995,0.007915203858043495
accusations,2,1.1526314576177413e-05,accus,0,2.0,0.0017976933657349783,2.996155609558297e-05,0.0009615300463098751,0.008821084670112788,0.00014701807783521314,0.0047181227416329494,3.269417976209351e-05,5.449029960348919e-07,1.7487095841763047e-05,0.01818673884282076,0.00030311231404701265,0.009636819927951274
accuse,7,4.0342101016620945e-05,accus,0,6.0,0.004558479843085139,7.597466405141898e-05,0.0015267065008722658,0.015142942260722256,0.0002523823710120376,0.005071609217894757,0.0002095366772077095,3.492277953461825e-06,7.017712445289163e-05,0.04596634940166741,0.0007661058233611235,0.014282891287780564
accused,7,4.0342101016620945e-05,accus,0,5.0,0.005598458646121783,9.330764410202972e-05,0.0017590001409151898,0.020070264308184725,0.0003345044051364121,0.006305949543944185,0.0003039421328929345,5.065702214882241e-06,9.549668728179175e-05,0.0542903238382379,0.0009048387306372983,0.01609666074867935
accusing,1,5.763157288088707e-06,accus,0,1.0,0.0003951501372862308,6.58583562143718e-06,0.0003950995625840522,0.0023341086297894516,3.890181049649086e-05,0.0023338098905567773,1.7656555622890435e-06,2.9427592704817392e-08,1.7654295785532764e-06,0.004468315699989429,7.447192833315714e-05,0.004466796575934563
accustom,1,5.763157288088707e-06,accustom,0,1.0,0.0010707031555032016,1.7845052591720027e-05,0.0010706532563540406,0.006324526399930223,0.00010540877333217039,0.006324231651115319,1.1312994831832909e-05,1.8854991386388182e-07,1.1312467599972556e-05,0.010565948903471864,0.00017609914839119772,0.010564449341895946
accustomed,26,0.00014984208949030638,accustom,0,20.0,0.021737583807049723,0.0003622930634508287,0.003344444905952914,0.03445325519045724,0.000574220919840954,0.005300819761663262,0.004519387696128212,7.532312826880353e-05,0.0006953322546105781,0.20790662551292974,0.0034651104252154956,0.027504773451569462
aching,1,5.763157288088707e-06,ach,0,1.0,0.0007675047046319076,1.279174507719846e-05,0.000767454502284296,0.0045335663218755064,7.555943869792511e-05,0.0045332697821005245,6.0961704036450694e-06,1.0160284006075116e-07,6.095771654212193e-06,0.00794284434591026,0.00013238073909850433,0.00794133611800259
acknowledge,5,2.8815786440443534e-05,acknowledg,0,4.0,0.003002218960065855,5.003698266776425e-05,0.001254690432784982,0.011729341021038873,0.00019548901701731456,0.004901938252247629,9.077826842888667e-05,1.5129711404814445e-06,3.7938147222950283e-05,0.03023705786832264,0.000503950964472044,0.0120932745523875
acknowledged,4,2.3052629152354826e-05,acknowledg,0,4.0,0.0025854305497323266,4.309050916220544e-05,0.0010604350424897127,0.010100994300348184,0.00016834990500580306,0.004143003694756778,6.95302105632651e-05,1.158836842721085e-06,2.8518372617128837e-05,0.026893087718199857,0.00044821812863666427,0.010478294426725354
acquaint,1,5.763157288088707e-06,acquaint,0,1.0,0.0007675047046319076,1.279174507719846e-05,0.000767454502284296,0.0045335663218755064,7.555943869792511e-05,0.0045332697821005245,6.0961704036450694e-06,1.0160284006075116e-07,6.095771654212193e-06,0.00794284434591026,0.00013238073909850433,0.00794133611800259
acquaintance,9,5.186841559279836e-05,acquaint,0,9.0,0.006928497529741486,0.00011547495882902478,0.001254690432784982,0.018963059358168,0.0003160509893028,0.0034340445458620025,0.0004903206465258396,8.17201077543066e-06,8.879278971408856e-05,0.07076868316991869,0.0011794780528319782,0.0120932745523875
acquaintances,2,1.1526314576177413e-05,acquaint,0,2.0,0.002160015739590099,3.6000262326501654e-05,0.0010893136733994817,0.010598960918961037,0.00017664934864935062,0.005345143019671686,4.598098744200011e-05,7.663497907000019e-07,2.318858951763269e-05,0.02128733906852263,0.0003547889844753772,0.010721422598172683
